啄	doeng1
袋	doi2
待	doi6
鐸	dok1
度	dok6
通	dong1
檔	dong3
蕩	dong4
盪	dong6
蕩	dong6
嘟	dou1
倒	dou2
到	dou2
度	dou2
艔	dou2
賭	dou2
到	dou3
度	dou6
渡	dou6
道	dou6
擉	duk1
涿	duk1
督	duk1
篤	duk1
毒	duk6
冬	dung1
凍	dung2
懂	dung2
凍	dung3
動	dung6
戙	dung6
楝	dung6
斷	dyun3
斷	dyun6
𡁯	dyut1
咩	e1
花	faa1
化	faa3
塊	faai3
劃	faak3
番	faan1
返	faan1
反	faan2
犯	faan6
瓣	faan6
廢	fai3
粉	fan2
瞓	fan3
份	fan6
揈	fang4
㧾	fat1
唿	fat1
帗	fat1
窟	fat1
否	fau1
埠	fau6
㹃	fe3
啡	fe3
飛	fei1
肥	fei4
揈	feng6
掝	fik6
揈	fing6
掝	fit1
伙	fo2
火	fo2
貨	fo3
慌	fong1
方	fong1
枋	fong1
房	fong2
放	fong3
枯	fu1
副	fu3
戽	fu3
褲	fu3
呼	fu4
符	fu4
負	fu6
幅	fuk1
服	fuk6
款	fun2
封	fung1
風	fung1
闊	fut3
家	gaa1
㗎	gaa2
㗎	gaa3
架	gaa3
㗎	gaa4
解	gaai2
刉	gaai3
戒	gaai3
界	gaai3
鎅	gaai3
𠝹	gaai3
格	gaak3
隔	gaak3
𠺝	gaak3
監	gaam1
減	gaam2
間	gaan1
揀	gaan2
梘	gaan2
間	gaan3
更	gaang1
徑	gaang3
挭	gaang3
𨁈	gaang3
㪉	gaap3
佮	gaap3
夾	gaap3
袷	gaap3
膠	gaau1
搞	gaau2
攪	gaau2
絞	gaau2
教	gaau3
校	gaau3
較	gaau3
鉸	gaau3
骹	gaau3
枅	gai1
笄	gai1
雞	gai1
偈	gai2
計	gai2
計	gai3
髻	gai3
柑	gam1
金	gam1
咁	gam2
噉	gam2
𢫏	gam2
咁	gam3
㩒	gam6
撳	gam6
跟	gan1
緊	gan2
近	gan6
梗	gang1
羹	gang1
梗	gang2
梗	gang3
急	gap1
𥄫	gap6
㓤	gat1
吉	gat1
桔	gat1
趌	gat6
趷	gat6
鳩	gau1
狗	gau2
夠	gau3
嚿	gau6
舊	gau6
嘅	ge2
嘅	ge3
基	gei1
機	gei1
磯	gei1
幾	gei2
寄	gei3
記	gei3
忌	gei6
驚	geng1
頸	geng2
鏡	geng3
居	geoi1
激	gik1
極	gik6
兼	gim1
撿	gim2
堅	gin1
見	gin3
件	gin6
景	ging2
勁	ging6
喼	gip1
笈	gip1
𠲵	gip3
結	git3
傑	git6
杰	git6
𠹳	git6
轎	giu2
撬	giu6
哥	go1
歌	go1
嗰	go2
個	go3
鋸	goe3
啹	goe4
腳	goek3
薑	goeng1
蔃	goeng2
蓋	goi3
涸	gok3
覺	gok3
乾	gon1
岡	gong1
缸	gong1
講	gong2
杠	gong3
剛	gong6
弶	gong6
鋼	gong6
割	got3
糕	gou1
膏	gou1
高	gou1
告	gou3
估	gu2
古	gu2
攰	gui6
癐	gui6
局	guk1
穀	guk1
谷	guk1
趜	guk1
鞫	guk1
覺	guk3
局	guk6
焗	guk6
冠	gun1
官	gun1
館	gun2
罐	gun3
供	gung1
公	gung1
工	gung1
攻	gung1
拱	gung2
愩	gung3
貢	gung3
瓜	gwaa1
啩	gwaa3
乖	gwaai1
拐	gwaai2
𧊅	gwaai2
怪	gwaai3
框	gwaak1
𡃈	gwaak1
摑	gwaak3
繣	gwaak3
逛	gwaak3
𡃈	gwaak3
𨀕	gwaak3
關	gwaan1
慣	gwaan3
摜	gwaan3
躀	gwaan3
框	gwaang2
逛	gwaang3
刮	gwaat3
虧	gwai1
龜	gwai1
鬼	gwai2
櫃	gwai6
跪	gwai6
軍	gwan1
滾	gwan2
菌	gwan2
棍	gwan3
𧥺	gwan3
群	gwan4
裙	gwan4
光	gwang1
轟	gwang4
屈	gwat1
骨	gwat1
倔	gwat6
掘	gwat6
過	gwo2
過	gwo3
狂	gwong4
蜎	gyun1
奪	gyut6
哈	haa1
蝦	haa1
謑	haa1
嗄	haa2
吓	haa5
揩	haai1
嚡	haai4
餡	haam2
喊	haam3
鹹	haam4
慳	haan1
桁	haang2
行	haang4
呷	haap3
掐	haap3
莢	haap3
敲	haau1
巧	haau2
姣	haau4
喺	hai2
係	hai6
喺	hai6
黑	hak1
坎	ham2
扻	ham2
撼	ham2
嵌	ham3
含	ham4
冚	ham6
咸	ham6
痕	han2
恨	han6
欿	han6
摼	hang1
拫	hang4
行	hang4
衡	hang4
恰	hap1
瞌	hap1
吼	hau1
睺	hau1
口	hau2
喉	hau4
猴	hau4
起	hei2
戲	hei3
氣	hei3
虛	heoi1
謙	him1
險	him2
蜆	hin2
興	hing1
㷫	hing3
哄	hing6
歇	hit3
囂	hiu1
曉	hiu2
翹	hiu3
呵	ho1
河	ho2
河	ho4
賀	ho6
㗾	hoe1
噓	hoe1
譁	hoe1
靴	hoe1
㗾	hoe4
香	hoeng1
䉺	hoeng2
响	hoeng2
響	hoeng2
行	hoeng4
開	hoi1
海	hoi2
鶴	hok2
殼	hok3
熇	hok3
𤌍	hok3
學	hok6
𤌍	hok6
看	hon1
寒	hon4
焊	hon5
糠	hong1
䉺	hong2
巷	hong2
漮	hong2
炕	hong3
絎	hong4
喝	hot3
𦤦	hot3
好	hou2
毫	hou4
蚝	hou4
蠔	hou4
哭	huk1
空	hung1
嗅	hung3
紅	hung4
哄	hung6
吖	jaa1
吔	jaak3
喫	jaak3
染	jaam5
䟫	jaang3
押	jaap3
呭	jai5
曳	jai5
陰	jam1
𩬎	jam1
飲	jam2
飲	jam3
任	jam6
因	jan1
印	jan3
引	jan5
癮	jan5
挹	jap1
翕	jap1
入	jap6
日	jat6
優	jau1
憂	jau1
懮	jau1
摳	jau1
友	jau2
柚	jau2
油	jau2
幼	jau3
油	jau4
嗻	je4
爺	je4
嘢	je5
惹	je5
夜	je6
贏	jeng4
錐	jeoi1
膶	jeoi2
潤	jeon2
膶	jeon2
潤	jeon6
咿	ji1
衣	ji1
𪘲	ji1
椅	ji2
移	ji4
益	jik1
膉	jik1
翼	jik6
閹	jim1
厴	jim2
掩	jim2
厭	jim3
嫌	jim4
烟	jin1
煙	jin1
演	jin2
躽	jin2
影	jing2
應	jing3
型	jing4
夭	jiu1
要	jiu3
搖	jiu4
約	joek3
藥	joek6
抰	joeng2
揚	joeng2
攘	joeng2
樣	joeng2
洋	joeng4
釀	joeng6
鑲	joeng6
喐	juk1
郁	juk1
褥	juk2
佣	jung2
湧	jung2
絨	jung2
溶	jung4
濃	jung4
穠	jung4
茸	jung4
蓉	jung4
融	jung4
淤	jyu2
牏	jyu2
瘀	jyu2
雨	jyu5
遇	jyu6
預	jyu6
㾓	jyun1
冤	jyun1
葾	jyun1
薳	jyun5
軟	jyun5
月	jyut2
卡	kaa1
楷	kaai2
咭	kaak1
靠	kaau3
契	kai3
撠	kak1
𠽤	kak1
禁	kam1
襟	kam1
