佮佮冚	tap1 tap1 ham6
囗囗声	ngang4 ngang4 seng1
囗囗声	ngang4 ngang2 seng1
绷绷紧	maang1 maang1 gan2
囗囗脆	ngok1 ngok1 ceoi3
叽叽趷趷	gi1 gi1 gat6 gat6
掕掕跳	lang3 lang3 tiu3
揼揼转	dam4 dam4 zyun3
氹氹转	tam4 tam4 zyun3
囗囗震	di1 di4 zan3
囗囗震	di1 di2 zan3
佮佮𠶧	tap1 tap1 dim6
揼揼𡃈	dam4 dam4 kwaak3
揼揼𡃈	dam4 dam4 kwaak1
谰㜺	laan2 zaan2
囗卡	ki1 kaa1
谰叻	laan2 lek1
喴哗鬼震	wi1 waa1 gwai2 zan3
灰士	fiu1 si2
囗头凸额	pong1 tau4 dat6 ngaak6
塳尘	pung1 can4
儆惜	geng6 sek3
揢手	kak1 sau2
谰有宝	laan2 jau5 bou2
谰架势	laan2 gaa3 sai3
谰正经	laan2 zing3 ging1
囗水蛋	faak3 seoi2 daan6
囗水蛋	faak3 seoi2 daan2
𪙛牙	nak1 ngaa4
𪙛牙	nak1 ngaa2
叽趷	gi1 gat6
谰醒	laan2 sing2
囗铃䆲唥	kwing1 ling1 kwaang1 laang1
㨢	nang3
储	cou5
咧	le5
捞松	laau1 sung1
㓟	pei1
𠜱	pei1
㓤	gat1
㗎	gaa3
㗎	gaa4
㗎咋	gaa3 zaa3
㗎咋	gaa3 zaa4
㗎啦	gaa3 laa4
㗎喇	gaa3 laa3
㗱	zaap6
㗲	waak1
㗲㗲	waak1 waak1
㗾	hoe1
㗾	hoe4
㗾哆	hoe4 doe1
㜺	zaan2
㜺鬼	zaan2 gwai2
㧤	cung3
揰	cung3
㧬火	ngung2 fo2
㧬	ngung2
𢫨	ngung2
㧾	fat1
㨃	deoi2
㨃鬼	deoi2 gwai2
㨆	lam6
㨘	saang2
㨘牛王	saang2 ngau4 wong4
㨘黄鱼	saang2 wong4 jyu4
㨘黄鱼	saang2 wong4 jyu2
㨴	kin2
㩋	sok1
㩋㩋脆	sok1 sok1 ceoi3
㩧㩧斋	bok1 bok1 zaai1
㩧湿	bok1 sap1
㷫	hing3
㷫烚烚	hing3 hap6 hap6
䁪下眼	zaam2 haa5 ngaan5
䁪眉䁪眼	zaam2 mei4 zaam2 ngaan5
䁪眼	zaam2 ngaan5
䉺	hong2
䉺	hong1
䐥	ngong3
䐥	ngung3
䟕	caa1
䟴	ngan3
䟴䟴脚	ngan3 ngan3 goek3
䟴高	ngan3 gou1
䲝鱼	cong1 jyu4
一	jat1
一一二二	jat1 jat1 ji6 ji6
一个字	jat1 go3 zi6
一个对	jat1 go3 deoi3
一个骨	jat1 go3 gwat1
一于	jat1 jyu1
一凹一凸	jat1 nap1 jat1 dat6
一𠕄一凸	jat1 nap1 jat1 dat6
一只屐	jat1 zek3 kek6
一只狸	jat1 zek3 lei4
一只狸	jat1 zek3 lei2
一味	jat1 mei6
一味	jat1 mei2
一哥	jat1 go1
一嚿溜	jat1 gau6 lau6
一嚿饭	jat1 gau6 faan6
一坺迾	jat1 paat6 laat6
一堆𨀤	jat1 deoi1 leoi1
一天光晒	jat1 tin1 gwong1 saai3
一头半月	jat1 tau4 bun3 jyut6
一头烟	jat1 tau4 jin1
一头雾水	jat1 tau4 mou6 seoi2
一字咁浅	jat1 zi6 gam3 cin2
一字角	jat1 zi6 gok3
一实	jat1 sat6
一度	jat1 dou6
一式	jat1 sik1
一张嘢	jat1 zoeng1 je5
一戙都冇	jat1 dung6 dou1 mou5
一手一脚	jat1 sau2 jat1 goek3
一把火	jat1 baa2 fo2
一抽一掕	jat1 cau1 jat1 lang3
一担担	jat1 daam3 daam1
一拍行	jat1 paak3 haang4
一排囗	jat1 paai4 laai4
一撇嘢	jat1 pit3 je5
一支公	jat1 zi1 gung1
一日	jat1 jat6
一日到黑	jat1 jat6 dou3 haak1
一沉百踩	jat1 cam4 baak3 caai2
一泡气	jat1 paau1 hei3
一流	jat1 lau4
一盘水	jat1 pun4 seoi2
一眼关七	jat1 ngaan5 gwaan1 cat1
一窿蛇	jat1 lung1 se4
一粒嘢	jat1 nap1 je5
一粒神	jat1 nap1 san4
一粒神	jat1 nap1 san2
一粒色	jat1 nap1 sik1
一系	jat1 hai6
一路	jat1 lou6
一路路	jat1 lou6 lou6
一身松	jat1 san1 sung1
一身筋	jat1 san1 gan1
一身蚁	jat1 san1 ngai5
一辘木	jat1 luk1 muk6
一辘杉	jat1 luk1 caam3
一镬泡	jat1 wok6 pou5
一镬熟	jat1 wok6 suk6
一阵	jat1 zan6
一阵	jat1 zan2
一阵	jat1 zan6
一面屁	jat1 min6 pei3
七七八八	cat1 cat1 baat3 baat3
七国咁乱	cat1 gwok3 gam3 lyun6
七星茶	cat1 sing1 caa4
七老八十	cat1 lou5 baat3 sap6
七除八扣	cat1 ceoi4 baat3 kau3
万大有我	maan6 daai6 jau5 ngo5
万字夹	maan6 zi6 gaap3
万寿果	maan6 sau6 gwo2
三两下手势	saam1 loeng5 haa5 sau2 sai3
三九两丁七	saam1 gau2 loeng5 ding1 cat1
三九唔识七	saam1 gau2 m4 sik1 cat1
三六	saam1 luk6
三六香肉	saam1 luk6 hoeng1 juk6
三分颜色上大红	saam1 fan1 ngaan4 sik1 soeng5 daai6 hung4
三及第	saam1 gap6 dai6
三及第	saam1 gap6 dai2
三口六面	saam1 hau2 luk6 min6
三只手	saam1 zek3 sau2
三尖八角	saam1 jim1 baat3 gok3
三幅被	saam1 fuk1 pei5
三扒两拨	saam1 paa4 loeng6 but6
三板斧	saam1 baan2 fu2
三脚凳	saam1 goek3 dang3
三脚猫	saam1 goek3 maau1
三脚鸡	saam1 goek3 gai1
三花	saam1 faa1
三行仔	saam1 hong4 zai2
三鸟	saam1 niu5
上下	soeng6 haa6
上下	soeng6 haa2
上五寸下五寸	soeng6 ng5 cyun3 haa6 ng5 cyun3
上便	soeng6 bin6
上堂	soeng5 tong4
上昼	soeng6 zau3
上落	soeng5 lok6
上链	soeng5 lin6
上链	soeng5 lin2
上高	soeng6 gou1
下	haa5
下	haa2
下下	haa5 haa5
下低	haa6 dai1
下便	haa6 bin6
下半昼	haa6 bun3 zau3
下底	haa6 dai2
下扒	haa6 paa4
下扒轻轻	haa6 paa4 heng1 heng1
下昼	haa6 zau3
下晏	haa6 ngaan3
下栏	haa6 laan4
下气	haa6 hei3
下间	haa6 gaan1
下阴	haa6 jam1
不宜	bat1 ji4
不成器皿	bat1 sing4 hei3 ming5
不特	bat1 dak6
不留	bat1 lau4
不留	bat1 lau1
不溜	bat1 lau4
不溜	bat1 lau1
与共	jyu5 gung6
与及	jyu5 kap6
丑	cau2
丑怪	cau2 gwaai3
丑死鬼	cau2 sei2 gwai2
丑颈	cau2 geng2
世伯	sai3 baak3
世侄	sai3 zat6
世叔	sai3 suk1
世界	sai3 gaai3
世界仔	sai3 gaai3 zai2
丝发	si1 faat3
丝母	si1 mou5
丝母	si1 mou2
丢架	diu1 gaa3
丢架	diu1 gaa2
丢生	diu1 saang1
丢疏	diu1 so1
丢眼角	diu1 ngaan5 gok3
丢那妈	diu1 naa5 maa1
两	loeng5
两仔乸	loeng5 zai2 naa2
两仔爷	loeng5 zai2 je4
两份	loeng5 fan6
两份	loeng5 fan2
两公婆	loeng5 gung1 po4
两公孙	loeng5 gung1 syun1
两头唔到岸	loeng5 tau4 m4 dou3 ngon6
两头唔受中间受	loeng5 tau4 m4 sau6 zung1 gaan1 sau6
两头蛇	loeng5 tau4 se4
两家	loeng5 gaa1
两抠	loeng5 kau1
两撇鸡	loeng5 pit3 gai1
两睇	loeng5 tai2
丧	song3
个	go3
个咊	go3 wo4
个啰	go3 lo3
个喎	go3 wo5
个噃	go3 bo3
个心十五十六	go3 sam1 sap6 ng5 sap6 luk6
丫	ngaa1
中	zung1
中中等等	zung1 zung1 dang2 dang2
中学鸡	zung1 hok6 gai1
中意	zung1 ji3
中褛	zung1 lau1
串仔	cyun3 zai2
串女	cyun3 neoi4
串女	cyun3 neoi2
临天光赖尿	lam4 tin1 gwong1 laai6 niu6
临急开坑	lam4 gap1 hoi1 haang1
临时临急	lam4 si4 lam4 gap1
临老学吹打	lam4 lou5 hok6 ceoi1 daa2
临记	lam4 gei3
为	wai4
为乜	wai6 mat1
为口奔驰	wai6 hau2 ban1 ci4
为咗	wai6 zo2
为得过	wai4 dak1 gwo3
为皮	wai4 pei4
为皮	wai4 pei2
为食	wai6 sik6
为食猫	wai6 sik6 maau1
举荐	geoi2 zin3
久不久	gau2 bat1 gau2
久唔久	gau2 m4 gau2
之	zi1
之不过	zi1 bat1 gwo3
之嘛	zi1 maa5
之噉	zi1 gam2
乌囗囗	wu1 doeng1 doeng1
乌囗囗	wu1 soe4 soe4
乌劣劣	wu1 lyut1 lyut1
乌哩单刀	wu1 lei1 daan1 dou1
乌哩马杈	wu1 lei1 maa5 caa5
乌榄	wu1 laam5
乌榄	wu1 laam2
乌杬	wu1 laam5
乌杬	wu1 laam2
乌灯黑火	wu1 dang1 haak1 fo2
乌蝇	wu1 jing4
乌蝇	wu1 jing1
乌褴苟褛	wu1 laam4 gau2 leoi5
乌面猫	wu1 min6 maau1
乌龙	wu1 lung4
乌龙	wu1 lung2
乌龙王	wu1 lung4 wong4
乌龙王	wu1 lung2 wong4
乌龟	wu1 gwai1
乒乓波	bing1 bam1 bo1
乒铃𠾴唥	bing4 ling4 baang4 laang4
乜	mat1
乜东东	mat1 dung1 dung1
乜乜	mat1 mat1
乜乜物物	mat1 mat1 mat6 mat6
乜嘢	mat1 je5
乜嘢话	mat1 je5 waa6
乜嘢话	mat1 je5 waa2
乜滞	mat1 zai6
乜说话	mat1 syut3 waa6
乜都假	mat1 dou1 gaa2
九因歌	gau2 jan1 go1
九大簋	gau2 daai2 gwai2
九成九	gau2 sing4 gau2
乞	hat1
乞人憎	hat1 jan4 zang1
乞儿	hat1 ji4
乞儿	hat1 ji1
乞嗤	hat1 ci1
乞食	hat1 sik6
乡里	hoeng1 lei5
书友	syu1 jau5
书友	syu1 jau2
书馆	syu1 gun2
买水	maai5 seoi2
乱咁舂	lyun6 gam3 zung1
乱噏廿四	lyun6 ngap1 jaa6 sei3
乱噏无为	lyun6 ngap1 mou4 wai4
乱嚟	lyun6 lai4
乱嚟	lyun2 lai4
乱晒坑	lyun6 saai3 haang1
乱立立	lyun6 lap6 lap6
乱龙	lyun6 lung4
乱龙	lyun2 lung4
乳猪	jyu4 zyu1
乸	naa2
了哥	liu1 go1
鹩哥	liu1 go1
争交	zaang1 gaau1
事关	si6 gwaan1
事头	si6 tau4
事头	si6 tau2
事头婆	si6 tau4 po4
事干	si6 gon3
事急马行田	si6 gap1 maa5 haang4 tin4
二世祖	ji6 sai3 zou2
二仔底	ji6 zai2 dai2
二叔	ji6 suk1
二奶	ji6 naai5
二奶	ji6 naai1
二手	ji6 sau2
二手货	ji6 sau2 fo3
二撇鸡	ji6 pit3 gai1
二花面	ji6 faa1 min6
二花面	ji6 faa1 min2
亏	kwai1
亏佬	kwai1 lou2
亏柴	kwai1 caai4
云吞	wan4 tan1
云呑面	wan4 tan1 min6
云石	wan4 sek6
云纱	wan4 saa1
云耳	wan4 ji5
五月节	ng5 jyut6 zit3
五柳鱼	ng5 lau6 jyu4
五柳鱼	ng5 lau6 jyu2
五爪金龙	ng5 zaau2 gam1 lung4
五花腩	ng5 faa1 naam5
亚伯	aa3 baak3
亚保亚胜	aa3 bou2 aa3 sing3
亚公	aa3 gung1
亚叔	aa3 suk1
亚哥	aa3 go1
亚奀	aa3 ngan1
亚奶	aa3 naai5
亚奶	aa3 naai1
亚妈	aa3 maa1
亚妹	aa3 mui6
亚妹	aa3 mui2
亚姑	aa3 gu1
亚姨	aa3 ji4
亚姨	aa3 ji1
亚婆	aa3 po4
亚婶	aa3 sam2
亚嫂	aa3 sou2
亚嫲	aa3 maa4
亚崩	aa3 bang1
亚斗官	aa3 dau2 gun1
亚爷	aa3 je4
亚爸	aa3 baa1
亚狗亚猫	aa3 gau2 aa3 maau1
亚福	aa3 fuk1
亚细	aa3 sai3
亚细	aa3 sai2
亚茂	aa3 mau6
亚蛇	aa3 soe4
亚驼	aa3 to4
亚驼	aa3 to2
亚	aa3
阿	aa3
些少	se1 siu2
些小	se1 siu2
交关	gaau1 gwaan1
交吉	gaau1 gat1
亦	jik6
亦都	jik6 dou1
亲	can1
亲力亲为	can1 lik6 can1 wai4
亲家奶奶	can1 gaa1 naai5 naai5
亲家奶奶	can1 gaa1 naai5 naai2
亲家奶奶	can1 gaa1 naai4 naai5
亲家奶奶	can1 gaa1 naai4 naai2
亲家老爷	can1 gaa1 lou5 je4
亲生	can1 saang1
人	jan4
人一世物一世	jan4 jat1 sai3 mat6 jat1 sai3
人事	jan4 si6
人事	jan4 si2
人哋	jan4 dei6
人嚟	jan4 lai4
人头涌涌	jan4 tau4 jung2 jung2
人客	jan4 haak3
人心肉做	jan4 sam1 juk6 zou6
人细鬼大	jan4 sai3 gwai2 daai6
人老精鬼老灵	jan4 lou5 zeng1 gwai2 lou5 leng4
人面	jan4 min6
人面	jan4 min2
仁	ngan4
银	ngan4
仆	puk1
仆筑路	puk1 zuk1 lou6
仆街	puk1 gaai1
仆转	puk1 zyun2
仇口	sau4 hau2
今	gam1
今日	gam1 jat6
今时唔同往日	gam1 si4 m4 tung4 wong5 jat6
今朝	gam1 ziu1
从嚟	go3 lai4
仔	zai2
仔乸	zai2 naa2
仔大仔世界	zai2 daai6 zai2 sai3 gaai3
仔女	zai2 neoi5
仔女	zai2 neoi2
他条	taa1 tiu4
仗	zoeng3
仙	sin1
仙屎	sin1 si2
令	ling6
件	gin6
件头	gin6 tau4
件头	gin6 tau2
企	kei2
企人边	kei5 jan4 bin1
企堂	kei5 tong4
企堂	kei5 tong2
企堂	kei5 tong4
企定	kei5 ding6
企歪啲	kei5 me2 di1
企理	kei5 lei5
企起身	kei5 hei2 san1
伊捞七	ji1 lou1 cat1
伊面	ji1 min6
伏	fuk6
伏低	fuk6 dai1
伏儿人	fuk6 ji4 jan4
伏儿人	fuk6 ji4 jan1
伏儿人	fuk6 ji1 jan4
伏儿人	fuk6 ji1 jan1
伏匿匿	fuk6 nei1 nei1
优	jau1
伙	fo2
伙头	fo2 tau4
伙头	fo2 tau2
伙头军	fo2 tau4 gwan1
伙记	fo2 gei3
伙计	fo2 gei3
会错意	wui6 co3 ji3
伦滘糕	leon4 gaau3 gou1
伯公	baak3 gung1
伯娘	baak3 noeng4
伯婆	baak3 po4
伯母	baak3 mou5
伯父	baak3 fu6
伯父	baak3 fu2
伯爷	baak3 je4
伯爷	baak3 je4
伯爷公	baak3 je4 gung1
伯爷婆	baak3 je4 po4
伯爷婆	baak3 je4 po2
估	gu2
估估下	gu2 gu2 haa5
估估下	gu2 gu2 haa2
估唔到	gu2 m4 dou3
伶牙俐齿	ling4 ngaa4 lei6 ci2
似层层	ci5 cang4 cang4
似样	ci5 joeng6
似样	ci5 joeng2
似模似样	ci5 mou4 ci5 joeng6
似模似样	ci5 mou4 ci5 joeng2
似足	ci5 zuk1
但凡	daan6 faan4
但系	daan6 hai6
低	dai1
低威	dai1 wai1
低庄	dai1 zong1
低波	dai1 bo1
住	zyu6
住年妹	zyu6 nin4 mui6
住年妹	zyu6 nin4 mui1
住年妹	zyu6 nin2 mui6
住年妹	zyu6 nin2 mui1
住月婆	zyu6 jyut6 po4
住月婆	zyu6 jyut6 po2
佗	to4
佗衰	to4 seoi1
佛都有火	fat6 dou1 jau5 fo2
作呕	zok3 ngau2
作渴	zok3 hok3
作状	zok3 zong6
作病	zok3 beng6
作贱	zok3 zin6
你哋	nei5 dei6
你啲人	nei5 di1 jan4
你就想	nei5 zau6 soeng2
你系得嘅	nei5 hai6 dak1 ge3
你系得嘅	nei5 hai6 dak1 ge2
你谂你	nei5 nam2 nei5
佢哋	keoi5 dei6
佬	lou2
使	sai2
使乜	sai2 mat1
使乜讲	sai2 mat1 gong2
使妈	sai2 maa1
使婆	sai2 po4
使婆	sai2 po2
使得	sai2 dak1
使横手	sai2 waang4 sau2
使牛	sai2 ngau4
使用	sai2 jung6
使费	sai2 fai3
使铜银夹大声	sai2 tung4 ngan4 gaap3 daai6 seng1
使铜银夹大声	sai2 tung4 ngan2 gaap3 daai6 seng1
使颈	sai2 geng2
侄	zat6
例牌	lai6 paai4
例牌	lai6 paai2
依时依候	ji1 si4 ji1 hau6
侧便	zak1 bin6
侧边	zak1 bin1
侨	kiu4
侵早	cam1 zou2
便	bin6
俗骨	zuk6 gwat1
保你大	bou2 nei5 daai6
信皮	seon3 pei4
信肉	seon3 juk6
修整	sau1 zing2
修游	sau1 jau4
倒刺	dou3 ci3
倒吊冇滴墨水	dou3 diu3 mou5 dik6 mak6 seoi2
倒吊荷包	dou3 diu3 ho4 baau1
倒拗	dou3 ngaau3
倒掟	dou3 deng3
倒掟头	dou3 deng3 tau4
倒模	dou2 mou4
倒模	dou2 mou2
倒汗水	dou3 hon6 seoi2
倒泻箩蟹	dou2 se3 lo4 haai5
倒泻箩蟹	dou2 se2 lo4 haai5
倒灶	dou2 zou3
倒瓤	dou2 nong4
倒眼	dou3 ngaan5
倒米	dou2 mai5
倒米寿星	dou2 mai5 sau6 sing1
倒褪	dou3 tan3
倔声倔气	gwat6 seng1 gwat6 hei3
倔头	gwat6 tau4
倔头扫把	gwat6 tau4 sou3 baa2
倔头路	gwat6 tau4 lou6
倔尾龙	gwat6 mei5 lung4
倔情	gwat6 cing4
倔擂槌	gwat6 leoi4 ceoi4
倔	gwat6
𡲬	gwat6
候镬	dou3 wok6
候镬	dou3 wok2
借一借	ze3 jat1 ze3
借借	ze3 ze3
借头借路	ze3 tau4 ze3 lou6
借歪	ze3 me2
借歪啲	ze3 me2 di1
倾	king1
倾偈	king1 gai6
倾偈	king1 gai2
假	gaa2
假膊	gaa2 bok3
假过卖猫	gaa2 gwo3 maai6 maau1
偈	gai6
偈	gai2
偈油	gai6 jau4
偈油	gai2 jau4
做	zou6
做七	zou6 cat1
做丑人	zou6 cau2 jan4
做世界	zou6 sai3 gaai3
做乜	zou6 mat1
做低	zou6 dai1
做咗手脚	zou6 zo2 sau2 goek3
做庄	zou6 zong1
做惯乞儿懒做官	zou6 gwaan3 hat1 ji4 laan5 zou6 gun1
做惯乞儿懒做官	zou6 gwaan3 hat1 ji1 laan5 zou6 gun1
做戏	zou6 hei3
做把戏	zou6 baa2 hei3
做牙	zou6 ngaa4
做禡	zou6 ngaa4
做磨心	zou6 mo6 sam1
停	ting4
停	ting2
偷师	tau1 si1
偷薄	tau1 bok6
偷鸡	tau1 gai1
傍	bong6
傢俬	gaa1 si1
傢俬杂物	gaa1 si1 zaap6 mat6
家私什物	gaa1 si1 zaap6 mat6
傻人	so4 jan4
傻仔	so4 zai2
傻仔水	so4 zai2 seoi2
傻傻更更	so4 so4 gaang1 gaang1
傻更	so4 gaang1
僆囗	leng3 keng1
僆囗	leng1 keng1
僆仔	leng3 zai2
僆仔	leng1 zai2
僆妹	leng3 mui6
僆妹	leng3 mui1
僆妹	leng1 mui6
僆妹	leng1 mui1
儿戏	ji4 hei3
儿戏	ji4 hei1
元情鸡	mou4 cing4 gai1
先一排	sin1 jat1 paai4
先一排	sin1 jat1 paai2
先嗰排	sin1 go2 paai4
先嗰排	sin1 go2 paai2
先头	sin1 tau4
先时	sin1 si4
先生	sin1 saang1
先至	sin1 zi3
光	gwong1
光劣出	gwong1 lyut3 cyut1
光劣出	gwong1 lyut1 cyut1
光管	gwong1 gun2
光脱脱	gwong1 tyut3 tyut3
光脱脱	gwong1 tyut3 tyut1
光脱脱	gwong1 tyut1 tyut3
光脱脱	gwong1 tyut1 tyut1
光鲜	gwong1 sin1
光鲜企理	gwong1 sin1 kei5 lei5
光鸡	gwong1 gai1
光鸭	gwong1 ngaap3
光𥊼𥊼	gwong1 caang4 caang4
免至	min5 zi3
入	jap6
入伙	jap6 fo2
入便	jap6 bin6
入味	jap6 mei6
入围	jap6 wai4
入息	jap6 sik1
入数	jap6 sou3
入水	jap6 seoi2
八	baat3
八卦	baat3 gwaa3
八卦妹	baat3 gwaa3 mui6
八卦妹	baat3 gwaa3 mui1
八卦婆	baat3 gwaa3 po4
八卦婆	baat3 gwaa3 po2
八妹	baat3 mui6
八妹	baat3 mui1
八婆	baat3 po4
八珍	baat3 zan1
八音	baat3 jam1
公	gung1
公仔	gung1 zai2
公仔书	gung1 zai2 syu1
公关	gung1 gwaan1
公头	gung1 tau4
公头	gung1 tau2
公德心	gung1 dak1 sam1
共	gung6
共埋	gung6 maai4
关乎	gwaan1 fu4
关人	gwaan1 jan4
关刀	gwaan1 dou1
关斗	gwaan1 dau2
兴	hing1
兼夹	gim1 gaap3
内伤	zung1 seng1
冇	mou5
冇世艺	mou5 sai3 ngai6
冇乜	mou5 mat1
冇交易	mou5 gaau1 jik6
冇修	mou5 sau1
冇准	mou5 zeon2
冇几何	mou5 gei2 ho4
冇几何	mou5 gei2 ho2
冇几耐	mou5 gei2 noi6
冇几耐	mou5 gei2 noi2
冇厘搭霎	mou5 lei4 daap3 saap3
冇厘瘾	mou5 lei4 jan5
冇厣鸡笼	mou5 jim2 gai1 lung4
冇口齿	mou5 hau2 ci2
冇咁好气	mou5 gam3 hou2 hei3
冇嘢到	mou5 je5 dou3
冇嘢嚟	mou5 je5 lai4
冇声气	mou5 seng1 hei3
冇头乌蝇	mou5 tau4 wu1 jing4
