䉺	hong2
䋨	pau3
䍇	taap3
䒐	mang2
䒐	mang2
䒐䒏	mang2 zang2
䒐姜	mang2 goeng1
䚕	lai6
䟴	ngan3
䟴	ngan3
䟴	ngan3
䟴䟴板	ngan3 ngan3 baan2
䟴䟴脚	ngan3 ngan3 goek3
䟴高	ngan3 gou1
䩩	jyun2
䪯䪯声	ang4 ang4 seng1
䪯䪯声	ang4 ang2 seng1
䭦罉	bok3 cang1
䭦铛	bok3 cang1
一于	jat1 jyu1
一仆二辘	jat1 puk1 ji6 luk1
一仆二碌	jat1 puk1 ji6 luk1
一便	jat1 bin6
一只屐噉	jat1 zek3 kek6 gam2
一只狗噉	jat1 zek3 gau2 gam2
一只雀噉	jat1 zek3 zoek3 gam2
一只雀噉	jat1 zek3 zoek2 gam2
一哥	jat1 go1
一唔系	jat1 m4 hai6
一唔系嘅话	jat1 m4 hai6 ge3 waa6
一唔系嘅话	jat1 m4 hai6 ge3 waa2
一啲	jat1 dit1
一啲	jat1 di1
一头半个月	jat1 tau4 bun3 go3 jyut6
一头家	jat1 tau4 gaa1
一头雾水	jat1 tau4 mou6 seoi2
一字咁浅	jat1 zi6 gam3 cin2
一字角	jat1 zi6 gok3
一实	jat1 sat6
一岩一窟	jat1 ngaam4 jat1 fat1
一戙都冇	jat1 dung6 dou1 mou5
一把火	jat1 baa2 fo2
一日到黑	jat1 jat6 dou3 haak1
一日到黑	jat1 jat6 dou3 hak1
一日到黑	jat1 jat6 dou3 haak1
一日到黑	jat1 jat6 dou3 hak1
一时三刻	jat1 si4 saam1 haak1
一时三刻	jat1 si4 saam1 haak2
一是	jat1 si6
一本通书睇到老	jat1 bun2 tung1 syu1 tai2 dou3 lou5
一枝公	jat1 zi1 gung1
一牌	jat1 paai4
一牌	jat1 paai2
一排	jat1 paai4
一排	jat1 paai2
一眼关七	jat1 ngaan5 gwaan1 cat1
一碟斋	jat1 dip6 zaai1
一种米养百种人	jat1 zung2 mai5 joeng5 baak3 zung2 jan4
一窿蛇	jat1 lung1 se4
一竹篙打死一船人	jat1 zuk1 gou1 daa2 sei2 jat1 syun4 jan4
一竹篙揇沉一船人	jat1 zuk1 gou1 naam3 cam4 jat1 syun4 jan4
一箸夹中	jat1 zyu6 gaap3 zung3
一箸夹中	jat1 zyu6 gaap3 zung3
一系	jat1 hai6
一脚踢	jat1 goek3 tek3
一路	jat1 lou6
一身蚁	jat1 san1 ngai5
一轮	jat1 leon4
一适间	jat1 sik1 gaan1
一镬泡	jat1 wok6 pou5
一阵	jat1 zan6
一阵	jat1 zan2
一阵间	jat1 zan6 gaan1
一阵间	jat1 zan2 gaan1
一阵间	jat1 zan6 gaan1
一阵间	jat1 zan2 gaan1
一额汗	jat1 ngaak6 hon6
一齐	jat1 caai4
丁	ding1
丁屋	ding1 uk1
丁香	ding1 hoeng1
七国咁乱	cat1 gwok3 gam3 lyun6
七彩	cat1 coi2
七星茶	cat1 sing1 caa4
万字夹	maan6 zi6 gaap3
万字夹	maan6 zi6 gaap2
万能老倌	maan6 nang4 lou5 gun1
三九两丁七	sam1 gau2 loeng5 zing1 cat1
三六	saam1 luk6
三几	saam1 gei2
三只手	saam1 zek3 sau2
三姑六婆	saam1 gu1 luk6 po4
三尖八角	saam1 zim1 baat3 gok3
三扒两拨	saam1 paa4 loeng5 but6
三文鱼	saam1 man4 jyu4
三文鱼	saam1 man4 jyu2
三朝两日	saam1 ziu1 loeng5 jat6
三朝回门	saam1 ziu1 wui4 mun4
三板斧	saam1 baan2 fu2
三板斧	saam1 baan2 fu2
三点头	saam1 dim2 tau4
三索线	saam1 sok3 sin3
三脚凳	saam1 goek3 dang3
三脚鸡	saam1 goek3 gai1
三蛇羹	saam1 se4 gang1
三行	sam1 hong4
三行	sam1 hong2
三行佬	saam1 hong4 lou2
三行佬	saam1 hong2 lou2
三衰六旺	saam1 seoi1 luk6 wong6
三鸟	saam1 niu5
上	soeng5
上便	soeng6 bin6
上便	soeng6 bin6
上嚟	soeng5 lai4
上嚟	soeng5 lai4
上堂	soeng5 tong4
上契	soeng5 kai3
上得山多终遇虎	soeng5 dak1 saan1 do1 zung1 jyu6 fu2
上心	soeng5 sam1
上昼	soeng6 zau3
上水	soeng6 seoi2
上碎	soeng6 seoi2
上汤	soeng6 tong1
上牌	soeng6 paai4
上牌	soeng6 paai2
上排	soeng6 paai4
上排	soeng6 paai2
上高	soeng6 gou1
下	haa5
下	haa5
下低	haa6 dai1
下便	haa6 bin6
下便	haa6 bin6
下午茶	haa6 ng5 caa4
下底	haa6 dai2
下昼	haa6 zau3
下晏	haa6 aan3
下栏	haa6 laan4
下栏	haa5 laan4
下栏	haa5 laan4
下爬	haa6 paa4
下爬轻轻	haa6 paa4 heng1 heng1
不单只	bat1 daan1 zi2
不单止	bat1 daan1 zi2
不时	bat1 si4
不溜	bat1 lau6
不溜	bat1 lau1
不特	bat1 dak6
不特只	bat1 dak6 zi2
不特止	bat1 dak6 zi2
丑	cau2
丑	cau2
丑人	cau2 jan4
丑人	cau2 jan2
丑怪	cau2 gwaai3
丑怪	cau2 gwaai3
丑死怪	cau2 si2 gwaai3
丑死怪	cau2 sei2 gwaai3
丑颈	cau2 geng2
专登	zyun1 dang1
世	sai6
世伯	sai3 baak3
世侄	sai3 zat6
世界仔	sai3 gaai3 zai2
世艺	sai3 ngai6
东东	dung1 dung1
东东	dung1 dung1
东风螺	tung1 fung1 lo4
东风螺	tung1 fung1 lo2
丝丝湿湿	si1 si1 sap1 sap1
丝帽	lo4 mou6
