蛇2	se4
行出行入	haang4
行家	hong4
行档	hong4
装1	zong1
装2	zong1
话实1	waa6 sat6
话实2	waa6 sat6
赞1	zaan3
赞2	zaan3
起心1	hei2 sam1
起心2	hei2 sam1
趷	gat5
䞘、趌	gat5
车1	ce1
车2	ce1
车3	ce1
车大炮	ce1
过1	gwo3
过2	gwo3
过3	gwo3
过4	gwo3
迟	
透大气	tau3
透大气	tau2
通1	tung1
通2	tung1
金睛火眼	
闸1	zaap6
闸2	zaap6
霎1	saap3
霎2	saap3
飞1	fei1
飞2	fei1
飞3	fei1
飞4	fei1
飞天蠄蟧	fei1
驳1	bok3
驳2	bok3
骨1	gwat1
骨2	gwat1
骨3	gwat1
鸡1	gai1
鸡2	gai1
鸡埘	gai1
𠽤1	kik1
𠽤2	kik1
𢆡	
𢭃1	dau6
𢭃2	dau6
𣧂「歹+夫」	laai4 kwaai4
