笑容	笑容 😀
想嘔	想嘔 🤢
想嘔咁滯	想嘔咁滯 🤢
嘔	嘔 🤮
嘔吐	嘔吐 🤮
乞嗤	乞嗤 🤧
打乞嗤	打乞嗤 🤧
戴口罩	戴口罩 😷
口罩	口罩 😷
發燒	發燒 🤒
探熱	探熱 🤒
量體溫	量體溫 🤒
繃帶	繃帶 🤕
纏繃帶	纏繃帶 🤕
錢迷	錢迷 🤑
戴帽	戴帽 🤠
惡魔	惡魔 😈 👿
惡鬼	惡鬼 👹 👺
小丑	小丑 🤡
丑角	丑角 🤡
屎	屎 💩
大便	大便 💩
幽靈	幽靈 👻
鬼面	鬼面 👻
鬼馬	鬼馬 👻
頭骨	頭骨 💀
骷髏頭	骷髏頭 💀
骷髏頭骨	骷髏頭骨 💀
骷髏	骷髏 💀 ☠️
外星人	外星人 👽
怪獸	怪獸 👾
小精靈	小精靈 👾
機械人	機械人 🤖
機器人	機器人 🤖
南瓜燈	南瓜燈 🎃
南瓜燈籠	南瓜燈籠 🎃
萬聖節	萬聖節 🎃
大笑貓	大笑貓 😺
微笑貓	微笑貓 😸
流淚貓	流淚貓 😹
花癡貓	花癡貓 😻
奸笑貓	奸笑貓 😼
𡃶𡃶貓	𡃶𡃶貓 😽
恐懼貓	恐懼貓 🙀
可惜貓	可惜貓 😿
憤怒貓	憤怒貓 😾
雙手向上	雙手向上 🤲
雙手	雙手 🤲 👐
愛心手勢	愛心手勢 🫶
愛心	愛心 🫶 ❤️
歡呼	歡呼 🙌
揚手	揚手 🙌
鼓掌	鼓掌 👏
掌聲	掌聲 👏
握手	握手 🤝
合作	合作 🤝
合作愉快	合作愉快 🤝
拇指	拇指 👍
大拇指	大拇指 👍
豎拇指	豎拇指 👍
犀利	犀利 👍
稱讚	稱讚 👍
讚	讚 👍
㔹	㔹 👍
叻	叻 👍
好㔹	好㔹 👍
好叻	好叻 👍
㔹㔹豬	㔹㔹豬 👍
叻叻豬	叻叻豬 👍
掂	掂 👍 👌
掂過碌蔗	掂過碌蔗 👍
勁	勁 👍
拇指向下	拇指向下 👎
鄙視	鄙視 👎 🖕
嘲諷	嘲諷 👎 🖕
垃圾	垃圾 👎 🗑
拳頭	拳頭 ✊ 👊
拳	拳 ✊ 👊
打拳	打拳 👊
右拳	右拳 🤛
左拳	左拳 🤜
向左推	向左推 🫷
向右推	向右推 🫸
交叉手指	交叉手指 🤞
和平手勢	和平手勢 ✌️
勝利手勢	勝利手勢 ✌️
勝利	勝利 ✌️
手勢二	手勢二 ✌️
二	二 ✌️ 2️⃣
錢銀	錢銀 🫰
着數	着數 🫰
愛你手勢	愛你手勢 🤟
愛你	愛你 🤟
觸角手勢	觸角手勢 🤘
搖滾手勢	搖滾手勢 🤘
冇問題	冇問題 👌
好	好 👌 🆗 🆒
可以	可以 👌 🉑
可	可 👌 🉑
捏	捏 🤌 🤏
意大利手勢	意大利手勢 🤌
覆手	覆手 🫳
翻手	翻手 🫴
左邊	左邊 👈
右邊	右邊 👉
上邊	上邊 👆
下邊	下邊 👇
食指	食指 ☝️
手勢一	手勢一 ☝️
一	一 ☝️ 1️⃣
手背	手背 🤚
舉手	舉手 ✋ 🙋‍♀️ 🙋 🙋‍♂️
五指	五指 🖐️
手勢五	手勢五 🖐️
五	五 🖐️ 5️⃣
瓦肯舉手禮	瓦肯舉手禮 🖖
揮手	揮手 👋
招呼	招呼 👋
打招呼	打招呼 👋
你好	你好 👋
手勢六	手勢六 🤙
六	六 🤙 6️⃣
打電話	打電話 🤙
電聯	電聯 🤙
手向右	手向右 🫱
手向左	手向左 🫲
二頭肌	二頭肌 💪
強壯	強壯 💪
肌肉	肌肉 💪
加油	加油 💪
掙扎	掙扎 💪
機械手臂	機械手臂 🦾
機械手	機械手 🦾
豎中指	豎中指 🖕
中指	中指 🖕
屌你	屌你 🖕
頂你個肺	頂你個肺 🖕
書寫	書寫 ✍️
寫字	寫字 ✍️
雙手合十	雙手合十 🙏
祈禱	祈禱 🙏
唔該	唔該 🙏
手指指	手指指 🫵
腳底	腳底 🦶
腳	腳 🦶 🦵
機械腳	機械腳 🦿
義肢	義肢 🦿
口紅	口紅 💄
紅脣	紅脣 💋
脣	脣 💋 👄 🫦
嘴脣	嘴脣 👄
咬脣	咬脣 🫦
牙齒	牙齒 🦷
牙	牙 🦷
齒	齒 🦷
脷	脷 👅
舌	舌 👅
耳	耳 👂
耳仔	耳仔 👂
聽	聽 👂
助聽器	助聽器 🦻
鼻	鼻 👃
鼻哥	鼻哥 👃
腳印	腳印 👣 🐾
足跡	足跡 👣
眼	眼 👁️ 👀
眼睛	眼睛 👁️ 👀
睇	睇 👀
𥄫	𥄫 👀
𥄫𥄫	𥄫𥄫 👀
眼望望	眼望望 👀
心臟	心臟 🫀
肺	肺 🫁
肺部	肺部 🫁
大腦	大腦 🧠
腦部	腦部 🧠
演講	演講 🗣️
講話	講話 🗣️
一人	一人 👤
一個人	一個人 👤
兩人	兩人 👥
雙人	雙人 👥
兩個人	兩個人 👥
嬰兒	嬰兒 👶 🚼
女童	女童 👧
細路女	細路女 👧
女孩	女孩 👧
兒童	兒童 👧 🧒 👦
細路	細路 👧 🧒 👦
男童	男童 👦
細路仔	細路仔 👦
男孩	男孩 👦
女人	女人 👩
成年人	成年人 🧑
男人	男人 👨
捲髮女	捲髮女 👩‍🦱
捲髮人	捲髮人 🧑‍🦱
捲髮男	捲髮男 👨‍🦱
紅髮女	紅髮女 👩‍🦰
紅髮人	紅髮人 🧑‍🦰
紅髮男	紅髮男 👨‍🦰
金髮女	金髮女 👱‍♀️
金髮	金髮 👱‍♀️
金髮人	金髮人 👱
金髮男	金髮男 👱‍♂️
白髮女	白髮女 👩‍🦳
白髮人	白髮人 🧑‍🦳
白髮男	白髮男 👨‍🦳
光頭女	光頭女 👩‍🦲
女光頭	女光頭 👩‍🦲
光頭人	光頭人 🧑‍🦲
光頭	光頭 🧑‍🦲
光頭男	光頭男 👨‍🦲
光頭佬	光頭佬 👨‍🦲
鬍鬚女	鬍鬚女 🧔‍♀️
鬍鬚人	鬍鬚人 🧔
鬍鬚	鬍鬚 🧔 🧔‍♂️
鬍鬚男	鬍鬚男 🧔‍♂️
鬍鬚佬	鬍鬚佬 🧔‍♂️
老女人	老女人 👵
老婆婆	老婆婆 👵
婆婆	婆婆 👵
阿婆	阿婆 👵
阿嫲	阿嫲 👵
嫲嫲	嫲嫲 👵
外婆	外婆 👵
老人	老人 🧓
長者	長者 🧓
老男人	老男人 👴
老爺爺	老爺爺 👴
爺爺	爺爺 👴
阿爺	阿爺 👴
阿公	阿公 👴
公公	公公 👴
老阿伯	老阿伯 👴
阿伯	阿伯 👴
外公	外公 👴
瓜皮帽	瓜皮帽 👲
頭巾女	頭巾女 👳‍♀️
