僞	偽 僞
兌	兑 兌
叄	叁 叄
只	只 衹
啓	啓 啟
喫	吃 喫
囪	囱 囪
妝	妝 粧
媼	媪 媼
嬀	媯 嬀
悅	悦 悅
慍	愠 慍
戶	户 戶
挩	捝 挩
搵	揾 搵
擡	抬 擡
敓	敚 敓
敘	敍 敘
教	教 敎
柺	枴 柺
梲	棁 梲
棱	稜 棱
榲	榅 榲
檯	枱 檯
氳	氲 氳
涗	涚 涗
溫	温 溫
溼	濕 溼
潙	溈 潙
潨	潀 潨
熅	煴 熅
爲	為 爲
癡	痴 癡
皁	皂 皁
真	真 眞
祕	秘 祕
稅	税 稅
竈	灶 竈
糉	粽 糉 糭
縕	緼 縕
纔	才 纔
脣	唇 脣
脫	脱 脫
膃	腽 膃
臥	卧 臥
臺	台 臺
菸	煙 菸
蒕	蒀 蒕
蔥	葱 蔥
蔿	蒍 蔿
蘊	藴 蘊
蛻	蜕 蛻
衆	眾 衆
衛	衞 衛
覈	核 覈
說	説 說
踊	踴 踊
轀	輼 轀
醞	醖 醞
鉢	缽 鉢
鉤	鈎 鉤
銳	鋭 銳
鍼	針 鍼
閱	閲 閱
鰮	鰛 鰮
